iter	Logloss
0	0.6865303364
1	0.680606634
2	0.6750822417
3	0.6700930651
4	0.6640790842
5	0.6575199401
6	0.6526322265
7	0.6480333883
8	0.6415828536
9	0.6368056785
10	0.6315052229
11	0.6255153242
12	0.6186431403
13	0.6143647742
14	0.609449697
15	0.6044848785
16	0.5990317604
17	0.5945845729
18	0.589288902
19	0.5841506338
20	0.5784176154
21	0.572785355
22	0.5687085104
23	0.5638672488
24	0.5594338855
25	0.5554846208
26	0.5510219569
27	0.5457219853
28	0.5412644333
29	0.5376687042
30	0.5329715144
31	0.5291592134
32	0.5245912239
33	0.5197521632
34	0.5151104429
35	0.5110686363
36	0.5069135148
37	0.5029483898
38	0.4997627022
39	0.4959797581
40	0.4915992665
41	0.4877457775
42	0.4838788842
43	0.4795723478
44	0.4754278966
45	0.4715171066
46	0.4673592189
47	0.4639443898
48	0.4598466161
49	0.4566335496
50	0.4534631818
51	0.4495473058
52	0.4464141699
53	0.4434384673
54	0.4401059088
55	0.436952733
56	0.4337082973
57	0.4304073799
58	0.4277704225
59	0.4238875273
60	0.4204417878
61	0.4176026783
62	0.4139104739
63	0.4107362699
64	0.4076093164
65	0.4044772935
66	0.4018449951
67	0.3986171799
68	0.3963696681
69	0.3929551868
70	0.3897629884
71	0.3870338178
72	0.3832085884
73	0.3801291228
74	0.3767295317
75	0.3742667926
76	0.3714275427
77	0.3691407087
78	0.3670478936
79	0.3648365504
80	0.3620209795
81	0.3597688529
82	0.3569464337
83	0.3544838994
84	0.3525046673
85	0.3503099644
86	0.3477737394
87	0.3454183726
88	0.3434593664
89	0.3409837314
90	0.3387908849
91	0.3365912605
92	0.3341766333
93	0.3318412206
94	0.3295182712
95	0.327912742
96	0.3252280987
97	0.3228848781
98	0.3207394265
99	0.3191702898
100	0.3168546834
101	0.314675185
102	0.3125562841
103	0.3102652254
104	0.3081855984
105	0.3057339278
106	0.3037532308
107	0.3019008483
108	0.3001016504
109	0.298161787
110	0.2961852394
111	0.2946209118
112	0.2929412543
113	0.2910930484
114	0.289208106
115	0.2870506138
116	0.2854306362
117	0.283976113
118	0.2821893812
119	0.2799615272
120	0.2784965564
121	0.2768701782
122	0.2746900116
123	0.2724956274
124	0.2709145132
125	0.269052011
126	0.2671506822
127	0.2652064808
128	0.2634114455
129	0.2619093696
130	0.2602155427
131	0.2585194203
132	0.2569751891
133	0.2553856616
134	0.2539890235
135	0.2519313427
136	0.2508866756
137	0.2490807422
138	0.2477629736
139	0.2463190838
140	0.2449873009
141	0.2435690422
142	0.2420012805
143	0.2404622536
144	0.2391212261
145	0.2375688424
146	0.2358942194
147	0.2344509632
148	0.2332192855
149	0.2316295692
150	0.2302777101
151	0.2287415484
152	0.2273854594
153	0.2259530724
154	0.2248340369
155	0.2236304132
156	0.2227444856
157	0.2212782729
158	0.2203411535
159	0.2193166616
160	0.2180035097
161	0.2169355473
162	0.2156407324
163	0.2143901491
164	0.2132474951
165	0.2122774382
166	0.2112647138
167	0.2100724793
168	0.2088581575
169	0.2076969874
170	0.2062939288
171	0.2053430987
172	0.2044096357
173	0.2032556153
174	0.2019861086
175	0.2008191677
176	0.1999454448
177	0.1988437495
178	0.1974486336
179	0.196216618
180	0.1955144775
181	0.1939799108
182	0.1931672544
183	0.1917772825
184	0.1907095159
185	0.1899143373
186	0.1890821602
187	0.1881793944
188	0.1869517173
189	0.1860384281
190	0.185294932
191	0.1843265194
192	0.1832542604
193	0.1822559145
194	0.1813679962
195	0.1801335728
196	0.1789259608
197	0.1780585319
198	0.1773968834
199	0.176496194
200	0.1755626487
201	0.1747032387
202	0.1734720026
203	0.1727403346
204	0.1717775338
205	0.1708796573
206	0.1702387333
207	0.1694241566
208	0.1685957763
209	0.1677233871
210	0.166769213
211	0.1660194268
212	0.1652844551
213	0.1644688005
214	0.1637062221
215	0.1630037486
216	0.1622261856
217	0.1613102323
218	0.1603051228
219	0.159432644
220	0.1587263245
221	0.1576861423
